Features,DecisionTree,RandomForest,AdaBoost,ExtraTree,GradientBoosting,XGBOOST
protime,0.05997893589404203,0.11491563915519826,0.16,0.09114690011423285,0.06918592121936516,0.040331922471523285
alk_phosphate,0.07876726072710698,0.10811679791250745,0.1,0.08771841457465737,0.07381202303960874,0.03732360899448395
sgot,0.07795704926555702,0.10630068228976382,0.2,0.09253120959980767,0.10064731732824049,0.04733738303184509
age,0.1673079185828452,0.10565111728323348,0.12,0.09272350407694184,0.07387850213081697,0.039750244468450546
bilirubin,0.10229870249986786,0.14501254794072718,0.24,0.09552164980085143,0.15058324250868532,0.04192100465297699
fatigue,0.028830710974733966,0.027389014499131704,0.0,0.03266602600853424,0.009628472893593983,0.0
spiders,0.11799165679853903,0.07211458239457862,0.06,0.11626149410323224,0.1036237926363219,0.10512713342905045
malaise,0.0367591564927858,0.1077748907330022,0.06,0.12232814760246638,0.10147268306428366,0.10311681032180786
ascites,0.3301086087645221,0.14585621255552678,0.02,0.18821612144721683,0.2704563686089349,0.5104687809944153
spleen_palpable,0.0,0.06686851523633053,0.04,0.0808865326720592,0.04671167657014892,0.07462312281131744
