,class
class,1.0
ascites,0.4686805164226333
albumin,0.4555371421869803
spiders,0.3877625892359525
varices,0.3616439401780166
malaise,0.33785926119290477
protime,0.3076322398340588
fatigue,0.3036238898771819
spleen_palpable,0.23301645527602222
sex,0.1682415664237612
steroid,0.14138711436988508
anorexia,0.132172131147541
liver_firm,0.017475088984917935
sgot,-0.0672354277788715
liver_big,-0.08767771540168028
alk_phosphate,-0.1240715055559367
antivirals,-0.13180310158422473
age,-0.21743413128870417
histology,-0.33603329346500743
bilirubin,-0.4444143386636536
