,feature_scores,feature_name
0,47.678838373431006,age
1,9.650304994281356,steroid
2,0.5605745317971886,antivirals
3,26.8437006528074,fatigue
4,25.59619028134812,malaise
5,2.919486567305304,anorexia
6,0.008299941244038314,liver_big
7,2.798425366695426,liver_firm
8,10.246643410034702,spleen_palpable
9,25.89769731894785,spiders
10,13.88715317197221,ascites
11,8.982221660447452,varices
12,41.76005479720098,bilirubin
13,74.77842952930013,alk_phosphate
14,63.77524166946584,sgot
15,7.059887638059014,albumin
16,175.66653828121883,protime
17,10.210812452677363,histology
